ID,w3-assessemnt-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w3-14,w3-15,w3-16,w3-17,w3-18,w3-19,w3-20,w3-21,w3-22,w3-23,w3-24,w3-25,w3-26,w4-assessemnt-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13,w4-14,w4-15,w4-16,w4-17,w4-18,w4-19,w4-20,w4-21,w4-22,w4-23,w4-24,w4-25,w4-26
1,1.622716295,15.95446589,1.792314064,1.16284205,1.667277045,1.651464515,1.551503085,1.598692147,1.591034983,1.405577299,1.793033369,3.103870033,2.292289551,2.25094926,0.845626459,1.372666779,1.144530394,1.241031921,1.319188088,1.431682344,1.005501345,1.062636487,0.800028875,1.699659014,-0.407169124,0.390369178,0.623497259,0.526346631,3.545076688,12.02999449,2.260642786,2.639445589,1.685193632,1.645778719,1.677317512,1.906533251,1.977162226,1.645379699,1.303159606,2.142357938,1.522404046,2.051318541,1.242704765,1.927732894,1.545601607,1.286144538,1.959105251,1.52289543,1.406065891,1.796734285,1.604660196,1.36390346,1.249070909,1.457467759,0.664425632,0.856047334
2,2.561099781,35.98537653,1.21071221,1.439690632,1.833885722,1.247103316,1.340263384,1.690763168,1.646128137,1.925939201,1.766018353,0.715730949,0.884862795,0.424281705,1.546460828,0.995206713,0.744713533,1.294004653,-0.083780792,-0.174737377,1.617014547,1.626807147,1.018432148,0.652436431,1.211088936,0.875007251,1.162580208,0.828916002,3.464669536,57.56026705,1.134046052,1.227943846,0.940521392,1.512210672,1.101138744,1.604024198,1.69248955,1.724974331,0.54563053,1.807282864,1.233141911,1.558955251,0.950557562,0.990425597,1.272042498,1.693468503,0.777752228,0.61323644,0.915256488,0.714955682,0.950221652,0.326237971,1.3116148,1.216480284,0.769565388,1.017353986
3,2.142930768,37.80700974,1.639253531,1.947414091,2.292982324,1.566302224,1.611441119,2.201865604,1.860341137,2.095142586,1.513467089,1.844581762,1.943207711,2.360070113,2.029709639,1.814521531,1.454960777,1.305180118,1.247161563,2.42812131,0.942423578,2.142937261,1.45817545,0.398641186,0.390969707,0.541304286,0.905835042,1.005372069,2.633055346,38.61255586,1.991611957,1.874479055,2.01500193,1.913172296,2.612730698,2.178142946,2.185733733,1.710460797,1.68989622,2.089801416,2.092102255,2.532698,2.244735394,1.967795891,1.86079856,1.813033298,1.040368865,2.126619692,1.354127092,1.748155252,1.202466578,0.619813642,0.623332167,1.116597063,1.271793118,1.968722842
4,2.946495852,96.68099914,1.396698604,1.651597227,0.583936213,1.210740769,1.206214752,1.580110483,2.083958567,1.838799758,1.696798949,1.007452882,1.394596436,1.160183781,1.532232489,1.663677053,1.865337312,1.741287925,1.505733976,0.667897033,1.553144251,1.319587591,1.687809552,-0.14705178,2.111316962,0.995942237,1.152270831,1.276779913,3.184521283,65.593798,1.516136175,1.345476999,0.977631924,0.977153906,1.055968046,1.970582339,1.945836303,1.416874117,1.361929819,1.228604055,1.142294629,1.187624398,1.225478339,1.733453866,1.090380802,1.995640619,1.466391493,2.00381953,1.686525386,1.479498149,1.481166003,0.939215042,1.604720162,1.495511339,1.409408045,1.491408328
5,1.583092937,7.289606048,1.053835086,0.96776291,0.744055363,1.618859165,1.418552273,2.065368141,2.084156537,1.963138846,1.526771156,0.903090104,1.057225674,1.278794129,1.584216749,1.707204687,1.172900728,1.21538418,1.023440173,0.567462397,0.93670223,1.224471572,1.046610266,0.602632954,0.703631188,0.141987453,0.238234723,1.016502262,2.589014892,17.52719906,1.283056969,1.624111854,1.538996697,1.431730024,0.988564565,1.792815114,1.840964743,1.699224816,1.902310876,1.372710314,1.033566955,1.90984045,1.725597697,1.456220868,1.278060798,1.645011228,1.245007199,1.272298342,2.104390378,1.739809145,1.395112878,1.30468892,1.248526381,0.737743904,1.426047639,1.129313077
6,3.151200565,27.28841659,1.158996391,1.277088484,0.713623159,0.778395683,1.272661519,1.929865867,2.085593248,2.090606808,1.693469776,1.155686219,0.582980093,1.509207476,1.30705689,1.280635334,0.912958342,0.846987521,0.32735474,0.805841811,1.339842418,1.739662253,0.579191531,1.345803452,0.709001749,0.57266734,0.622978246,1.34677873,1.734382018,-17.6937012,1.343212103,1.62092545,1.042185246,1.639469813,1.671316478,1.642871715,1.647742968,1.267249749,1.293162743,1.210019416,2.007220484,1.454007915,1.492430238,1.363985822,1.399192883,1.889088741,0.206115171,1.353321578,1.447667992,1.625406064,0.595644795,0.77755323,1.129256761,1.289867153,1.864103393,1.198946832
7,2.24749083,68.53254482,2.03846913,1.706013941,1.992520238,1.352234798,1.655622274,1.819371777,2.021441478,1.783450929,1.976063846,1.665739244,1.505813856,2.347379035,2.25791785,1.958989101,1.262963298,0.852465225,0.24233538,0.176290546,1.65484583,1.951900979,1.825570914,1.208743415,1.338836704,0.798776685,0.901878737,0.819358394,2.602862704,99.55265748,1.46620746,1.616893097,2.250895495,1.937557058,1.496509951,1.127080529,0.959806108,1.423285058,1.444372436,1.125577637,1.50129406,1.659717478,1.801819536,1.262683694,2.175461615,1.505377817,1.046149048,2.040809528,1.292653809,1.464453404,1.816043847,1.62591776,1.244425482,1.434290322,1.410238735,1.364870113
8,3.215404828,121.0468845,1.996471837,1.466978725,1.848082571,2.125778026,2.672636098,2.250131866,1.599651708,2.184837277,1.596256614,2.414946319,2.593349275,2.691661708,2.324674541,2.150763365,1.211483115,2.565772879,0.656489949,1.613726925,0.764114527,1.584617421,2.182098702,0.932314706,0.766654864,1.189430227,1.606550786,1.544117343,3.23627994,96.28575791,2.791889511,2.190547949,2.416188164,1.976751336,1.943539549,2.890179227,2.956617445,2.765427227,2.844233125,3.057507391,2.87320943,2.939995669,3.137423301,2.923203861,2.218129535,2.50271938,2.262335418,0.984493264,2.725364595,2.594948994,2.751047079,1.980741025,2.434144198,2.190154363,2.538461187,2.071532738
9,2.256956844,113.0387604,1.677055699,1.987206449,1.21626995,2.03079972,1.933129983,2.06415554,2.139097702,1.791646266,1.581565654,1.708777804,1.578673882,1.880201638,1.97681815,1.218484639,1.184967728,2.318742639,1.084009122,0.458672805,0.786065867,1.574526213,0.896258355,-0.651213227,1.177138902,0.941778853,0.577940595,1.232301991,2.402179891,63.45750355,0.786799236,1.395609886,0.770124921,1.078712058,1.423102162,1.841466009,1.697328083,1.23857962,0.822014121,1.929569789,1.47617027,1.448292733,1.788346836,1.492120913,0.914082872,0.858334144,1.840077893,0.932146447,0.203969373,1.192404537,0.813835048,0.538874345,0.732124126,1.130521065,0.36543666,0.462682431
10,2.239592724,46.62009944,0.78226611,1.80432269,0.616338197,1.466319247,0.88457544,1.694194021,1.708956379,1.60919547,1.365377149,1.663629889,0.716830717,1.336971296,1.686178281,1.961490171,1.180364471,1.081066185,0.179659211,1.142302878,0.52776119,1.473905589,1.073292585,0.930068376,0.872397267,0.22807391,0.389587671,0.22255347,2.923724557,55.46188027,1.47740719,1.890899149,1.910527804,1.465367455,1.422245228,1.767913133,1.72473251,1.77166229,1.585644979,1.586455302,1.544578278,2.170864768,1.31748392,1.471039546,0.798137631,1.474772156,1.246316393,1.399907532,1.292231707,0.678287562,1.343616808,1.639381018,1.82716898,1.340591334,1.719059741,1.563781833
