ID,w3-assessemnt-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w4-assessemnt-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11
1,2.087591512,34.75270201,0.929753537,0.334724835,1.445080218,1.275708261,0.234825528,1.281237835,0.979581225,0.967702812,0.69700849,1.422385851,0.669475642,1.7652732,9.457035504,0.911570916,0.728769911,1.287859296,1.210884262,1.03999591,0.628611518,0.750406165,1.140174554,1.078744865,0.799905503,1.665485113
2,2.696841687,16.63526327,2.066599865,1.562832813,2.133277795,1.662499151,1.007625721,0.725711197,1.369415759,0.490014275,0.834840984,2.249480249,1.040752141,3.055962245,49.09921166,1.382085293,1.544619922,1.815660762,0.607656369,1.287275159,0.712598216,0.749142323,0.252859792,1.131617278,1.415258435,1.223708356
3,0.981351147,82.9153869,1.424295506,0.859820934,1.057434463,1.714673614,1.722378587,1.893684579,1.091740148,1.203858735,0.902702456,1.08112158,0.911502163,2.04286343,82.94024513,1.447579897,1.18951138,0.896926849,0.332251847,0.779456677,1.407143102,1.009419294,1.060612839,0.641042671,0.974206768,0.530541548
4,1.908109799,54.27911515,0.801870577,0.660954091,1.217392225,1.013871931,1.454230491,1.702650398,1.794487802,1.609425212,0.998668364,0.970458819,1.701221218,3.220930384,49.24361303,1.331407463,0.760605943,1.238095918,2.012235263,1.483479797,1.709737123,1.920714854,1.809295066,1.994606639,2.120801795,1.495915501
5,2.007560511,12.95497666,1.199213406,1.450532129,1.982983575,0.79309096,1.319876764,1.980872002,2.133038677,2.165821286,1.389568287,0.745689961,1.426201425,3.347686572,34.68383657,1.125225961,1.28595781,1.624289654,1.630336994,1.866221765,1.897629957,1.479993803,1.34468647,2.094991846,1.303701856,1.63193349
6,2.635545417,4.839768584,1.355084585,2.042974472,2.495740737,1.400001774,1.696203551,0.37110574,1.39190112,1.594989989,1.822113424,1.068116587,1.884508056,2.655601578,27.88436464,1.744243331,1.614567366,1.849054796,1.581809008,1.155101874,1.388807161,1.232086448,1.787645177,0.948762085,1.460292248,0.839686035
7,2.580673681,36.21084334,1.949603124,1.177997562,1.117973636,2.257618294,1.612169189,2.219922852,1.818491999,1.25393355,1.233249967,1.731131051,1.7839253,1.22489847,56.07578954,2.16687303,1.851262491,1.019959062,0.773412394,1.462118893,1.380716531,0.343608119,1.221136697,0.753915354,1.061888107,0.677230016
8,3.178053566,68.63848438,1.889705613,2.01279802,1.611226446,0.847289679,2.320641743,0.6792005,1.231571413,0.724719217,0.251825194,1.077193795,-0.134024938,3.357136299,40.0849726,1.443297569,1.215770704,1.597091156,1.378092917,2.099592303,1.712809223,1.463146825,1.387582143,1.225277005,1.50908671,1.072751847
9,2.080417833,63.25117366,0.823589774,1.541768037,0.905693968,1.77054006,0.803668254,1.482836026,1.064637226,0.764148093,0.586106073,0.280171211,0.225248448,3.672006487,41.78073144,1.896210953,1.498962003,1.775915876,1.871399692,1.870840426,1.828009739,2.312920062,2.138121511,1.325622751,1.993712856,2.001983194
10,2.854620515,23.66486456,1.301539426,1.552818952,1.389129834,1.385362193,1.465776258,1.217787287,1.582321667,0.871332893,1.177798524,0.934264776,0.921546527,2.341597473,9.404291396,0.924281276,0.612694789,0.494441292,0.427703392,0.667614158,1.15207741,0.676476659,1.327537901,0.347346984,0.95411871,0.408934648
11,2.575281894,70.88729671,1.745669024,0.548742535,1.321579097,1.209960746,0.996687574,1.487014947,1.040252562,1.24380307,0.706748271,1.031241865,0.611227106,2.293717094,-10.69914447,1.905532971,1.084997485,1.322492672,1.802045645,1.505118507,1.684820061,1.644509293,1.997407709,1.546360744,0.81382339,0.820149268
12,1.181562312,7.750520695,0.341899109,0.116965164,0.388995357,1.703046177,-0.135083264,-0.087664319,1.026240146,0.970037565,1.727885958,0.984378646,-0.048429339,0.489082074,31.43068791,-0.066378319,-0.140023248,0.085073053,0.252319749,0.625015534,1.106679899,0.533446678,1.461040785,0.600488311,0.259555058,0.768444958
13,2.008924106,55.68070585,1.420506204,1.176086554,1.136592651,0.214947342,0.959891149,1.506527879,2.009885467,0.925574573,0.84772352,0.874199078,0.347250294,1.34079131,0.463773074,0.743424174,0.700649856,0.605893516,1.007843359,1.890912185,1.960731734,0.742063541,1.087232364,0.788153799,1.012892282,0.349735323
14,1.259244557,18.19887443,0.965391477,0.393730244,-0.021574332,-0.918938971,-0.109512324,0.587931519,0.306337431,0.806737413,-0.200106065,0.177482195,0.063630587,2.274927608,43.25888763,1.621627415,0.775344307,1.147236644,0.880516905,1.217352982,1.815559332,1.172975629,1.208446904,1.059742721,1.667056506,0.790204678
15,3.177451584,60.61401124,2.245436499,2.033997885,1.997043455,1.782964616,2.779134209,1.572728922,0.94511913,1.250214987,2.246167821,1.807953166,1.974069346,2.575203674,83.09704815,1.863234222,1.853748001,1.994310475,2.058530155,2.606691796,1.673429584,1.879352774,1.839056235,1.747517752,1.575945631,1.443637729
