ID,w3-assessemnt-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w4-assessemnt-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8
1,3.729327255,53.82082069,2.189823373,1.770097274,0.811831954,2.177101713,1.726172203,1.940381685,2.99766673,1.981941016,1.999014914,48.93492512,1.778986504,1.11676923,1.261492926,1.499959034,1.51668961,1.542646317,1.817291257,1.885505065
2,2.722894092,73.07598072,1.52878282,1.280007173,1.096609708,1.243701026,0.807554469,1.142374062,1.402421571,1.500178783,3.093718382,76.0600196,1.929136092,0.685439378,0.659986277,1.190597447,0.799293115,1.547000705,2.003583538,1.610505341
3,0.364485382,56.90296843,1.063565536,1.730894786,1.648750057,0.53984429,0.847768311,0.682203595,1.01761059,-0.093575597,2.335618235,44.35914904,1.39658706,1.330712921,1.381824222,1.251231898,0.689587182,1.492707585,1.280043593,1.632381636
4,2.888781192,77.01388804,1.762186429,1.389214136,0.851862591,1.287466316,1.015595496,2.124796395,1.966288738,1.79861864,3.594745602,82.93198407,1.845504503,1.401813488,1.859779588,1.773554614,2.154363168,2.1877895,1.897245124,2.511661989
5,2.706012871,69.60827932,1.371029966,1.343868419,0.141188131,1.728569394,0.625540065,1.187347766,1.371891682,1.98061409,3.616434068,1.272537425,1.340842389,2.327845286,2.758933562,1.338169599,1.096509302,1.346352508,1.072068378,2.131647002
6,0.993454795,59.83947842,1.79441206,1.98367228,0.22091096,1.31091166,1.272767827,1.021513608,1.336881682,1.177001584,1.319187925,60.83454176,0.502516295,0.467724111,-0.379266834,0.297515135,0.141055934,1.218821196,0.951288191,0.354907188
7,2.120007015,61.93806506,1.635459322,-0.34376626,-0.346695385,1.99624823,0.927874034,0.445448778,0.956048006,0.529685349,2.548300948,65.41258427,1.190471958,0.542714677,0.561527165,0.47042755,0.888618852,1.240566255,0.026766368,0.762651016
8,2.690655554,51.36158717,1.821022419,0.98552423,1.274363218,1.08255292,1.04314752,1.18558609,1.672544036,1.205018489,2.680161036,82.40224305,2.457205929,1.130532626,0.570549445,0.920228934,0.607912274,0.957775917,1.533706105,0.228589184
9,2.122804171,12.72572715,1.308131792,-0.045986471,1.380393196,0.855394875,0.831253548,0.163803785,1.033680552,2.375068936,2.376361774,35.2489231,1.004091395,0.46863721,0.299918846,0.839697922,0.332846041,0.562648717,0.996179511,0.335486756
10,1.944421623,28.04008275,1.104622887,1.185757862,1.13465394,0.852674428,0.708486887,0.603081718,0.860673501,0.927617545,2.520000976,20.58433595,0.453156967,1.181117534,0.360405327,1.050091993,0.804986244,1.228784359,0.707238098,1.293648596
