ID,w3-assessemnt-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w4-assessemnt-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11
1,2.808956258,26.09426202,1.308039972,1.44553148,2.431176363,1.491150911,1.440485169,1.168785009,1.896209568,0.684653888,1.185539088,1.087496304,0.562574442,2.423722086,36.45658634,1.320548506,1.465599557,1.417076991,1.352610659,1.571657938,1.664179015,0.985244554,1.650171361,0.874617377,0.906397439,0.791077815
2,3.015470934,50.86041159,2.272283522,1.203375831,1.452881377,0.482831318,0.673776927,0.72174044,1.61207657,1.203898296,0.172880386,0.948143104,0.922358385,4.008032238,72.26792084,1.648429372,2.333401017,1.454826421,1.482922259,1.68010505,1.876839403,2.321228057,1.894652013,2.306297951,2.339497471,1.937394149
3,1.538446259,5.178957273,1.10651232,1.051165656,1.615659467,-0.268941772,0.250501591,0.383065687,0.449838999,0.66852463,1.125297991,0.390702126,1.193505911,1.452188287,9.376253876,1.163572651,1.228264239,1.341360669,0.618461542,1.257079181,1.069797685,0.876877166,1.238230551,1.595706754,1.160684078,1.230307747
4,3.07325159,57.25604273,1.740968248,1.348875851,1.666941091,1.527971943,0.661501138,1.882131334,1.392105793,0.073958404,1.306251946,0.638595167,1.839350733,4.373631812,55.50156147,2.837214469,2.257539137,2.271265088,2.034827527,2.297935157,2.138560744,1.912088318,1.678116326,2.011004337,1.711304385,1.476558204
5,2.929861244,70.93785484,1.225666262,1.46444768,1.048198631,2.282300661,1.415566936,1.743762103,1.189090002,2.369461555,1.538601136,1.697898642,0.468500511,3.542399265,4.702997688,1.677885088,1.818089349,1.871500143,2.126488712,2.925011768,1.562395815,2.058853763,2.070953994,1.541627167,1.443207108,1.152742731
6,3.174391168,71.79828284,2.519903174,1.614521669,1.937371873,2.715923765,2.651084594,2.343479603,1.769494052,1.879212059,1.962891647,1.983725545,2.052061147,3.957946599,11.76991615,2.621781768,1.762517721,2.135293351,2.181448341,1.433170088,1.192895368,1.916503205,1.891799734,2.411889897,1.920222365,1.792243359
7,2.022408347,58.42533166,0.295643355,0.210101792,0.229115176,1.126834438,0.237303031,0.37496656,0.402942809,1.080417847,0.517837061,1.100147177,0.735816054,1.925239471,81.49190786,1.246810315,1.083843426,0.823485024,1.379967092,0.572977508,1.323975682,1.058068433,1.775256154,1.505209273,1.206255125,0.873885179
8,2.617757886,50.66091922,2.726668779,1.944699752,1.955843322,1.105424826,1.319815146,1.496428084,1.192292791,1.217396426,0.920552708,1.047139561,1.476407741,3.416321231,98.17598203,1.634012702,1.108000234,1.612862007,1.445932963,1.782156316,1.363305976,1.889683143,1.182560434,1.422720622,1.591138985,1.763335622
9,2.162121453,99.41457146,1.430544261,1.896010633,1.380682616,1.897470889,1.637274323,2.11136769,1.34632235,0.915129967,1.857604311,1.300255014,1.561597907,1.981760358,42.54694015,0.948423753,1.149102708,0.833354506,1.243136225,1.319254363,1.273442184,1.133679769,0.72179045,0.318231553,0.871186925,0.060002193
10,3.947768674,6.655710195,1.779660444,2.222351532,2.182163778,1.808453192,2.469882225,2.15981411,2.434199815,1.740037039,1.741828957,1.731656218,2.418829891,4.408471478,43.94959697,1.985535575,2.138245361,2.002066476,1.278327972,1.697600804,2.41063554,2.11899795,1.964692891,2.006598096,1.901555236,1.949154607
11,3.677257228,35.69100543,0.838564944,1.773914134,1.409200594,2.864023003,1.457238688,1.772222387,1.705660489,2.114708277,2.808028239,2.327538843,2.471648661,4.639761798,12.01623219,1.572180512,1.573119246,1.959045481,1.899857749,1.461995487,1.37887303,1.930806269,2.291063833,2.999639675,1.598328819,2.487682841
12,2.016043579,57.62459803,1.749947724,1.564566361,1.945742293,1.65228784,1.480753274,1.61446517,1.482943771,1.102796924,1.991329197,1.541607236,1.740614062,2.700266011,62.17525714,1.521762356,0.899238861,1.096458612,1.198666267,1.270024258,1.515881411,1.270816103,1.294431292,1.599877726,1.633031119,1.50899664
13,2.705560059,-4.740209469,1.101628627,1.729875315,1.495819599,1.121300978,1.664504242,1.473663164,1.487503596,1.099103497,0.912058355,1.752214832,0.564793397,3.791844236,-27.70425072,2.23391516,2.167532467,2.833306501,2.540354215,2.379209485,1.786601766,1.911880092,1.415542127,1.505738195,1.791101463,2.458829578
14,3.594800493,56.63951666,1.648065386,0.780094602,0.490573723,0.811640361,1.072002621,1.652280071,1.6160369,1.058326318,0.33497556,1.533085243,0.858683904,2.701868679,28.55033329,0.605087941,0.778612056,1.076974639,1.430903009,1.497393492,1.804446101,2.298280612,1.216589102,1.409746347,1.743573988,1.892493368
15,2.242054182,24.94795215,1.472783812,1.718771343,2.01136703,0.983509522,1.214814002,2.28749384,2.632138468,1.910607325,1.307318462,1.491091673,2.035675107,2.656407463,20.18472334,1.003676796,0.770178366,1.241060348,1.150421789,0.797141613,0.950878754,1.572735347,1.602030862,1.059580562,0.822366097,0.997942081
16,1.742319888,3.877246994,0.528093707,-0.264613777,0.930916046,1.175423823,0.626457204,1.752627693,0.521102453,-0.084790582,1.004735218,0.536864034,1.393119766,2.032841118,55.51313977,0.85660761,0.941813231,1.323634081,1.565512526,1.592332533,1.29882758,1.223742285,1.281926443,0.755826967,0.811025931,1.283287152
17,2.457910304,26.39943067,0.211881567,0.721652937,1.11523512,1.297313006,0.379050306,1.186070165,1.884117016,1.152177394,1.283755258,1.368765028,1.027152069,1.675971083,30.34648389,0.615670533,0.886641988,0.921066994,0.956046677,1.318883194,1.266430337,0.534732141,0.966190462,1.299163566,0.782905238,1.558210059
18,1.180268361,26.91513746,0.799780198,0.274392855,-0.356430323,0.088218602,1.405002958,0.780423761,1.027915895,0.557779061,0.938873001,0.49911096,0.636468655,1.649100701,5.071629625,1.324120192,0.533274277,0.788879358,1.455848542,1.184098005,1.779738429,1.205946695,1.764289019,1.326368085,1.131714628,1.151279896
19,2.195066212,46.30340274,1.260407672,1.442954002,1.189403146,2.011377535,1.525422144,0.950307716,0.889491404,1.095043196,1.201833759,1.618829551,1.722787343,3.081644699,9.46131252,1.381527271,0.920626899,1.635576407,1.707875932,1.316267997,1.180760378,2.033117837,1.327622767,1.300994681,1.643191862,1.666304005
