ID,w3-assessemnt-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w4-assessemnt-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10
1,3.323178112,13.06540795,1.946352546,1.426629343,1.218968882,2.345658311,2.22311929,1.358711309,1.275241142,1.366584919,1.771386505,2.304433109,3.26723874,94.66936452,0.828956594,1.488140091,1.35878155,1.313277753,0.82526358,1.526069549,1.512385221,1.44974413,1.515995947,1.76264206
2,3.268699354,42.70433076,0.983420209,1.328180552,1.80415222,1.407885247,1.841004861,1.490609271,1.875146061,1.251957239,1.594900836,1.769544753,3.006253574,85.62411748,1.623006784,1.523463848,1.587569702,1.400756337,1.116510309,1.697010232,1.809790077,1.190093334,1.887577385,2.248890301
3,4.236665632,66.44757045,1.327051969,1.104940934,1.28459313,2.153989131,1.857256358,1.519587954,1.507309044,2.083589001,1.147096875,1.719641381,2.749506948,82.07588883,1.377360205,1.40551814,1.297945207,1.231752067,0.818897269,1.2500082,1.293658539,1.896305824,1.15893572,1.013631023
4,2.696286812,-30.25799208,1.796984648,1.957902859,1.897233963,1.798001749,2.374970718,1.718823996,2.026939224,1.405749961,1.834197306,0.849045917,2.589858969,47.84443723,1.598615226,1.963527048,1.509555123,0.830857077,1.055767139,1.04108404,1.410932899,1.532952377,0.779358983,0.769630135
5,2.908666749,54.95824605,2.439953686,1.700719575,2.421915842,1.804170127,2.14592933,2.154430552,1.59304095,1.741566664,1.608558787,2.199402662,3.238232097,115.1229104,1.687354506,1.755365655,2.466306816,1.523300467,2.078474246,1.589012388,1.184164637,1.634450208,0.659626808,2.075812411
6,2.781242486,59.73716005,2.497702669,1.48627886,2.121944395,2.437500594,1.88296865,1.594862476,2.067675027,2.354410799,1.666226451,1.546552896,3.920532295,101.6942901,2.655830201,2.227493678,2.481276224,2.083993645,2.153812735,2.452222615,2.82305846,2.253748558,1.665001729,2.041022305
7,2.269710724,55.37419096,0.422084959,1.610259122,2.045609485,2.365245817,1.519202229,1.866967516,1.706201193,1.775056504,0.561463374,0.919829096,2.275306147,42.30618512,1.317728398,0.839947856,1.331399817,0.862112229,1.265242269,1.242545652,1.270431019,0.871863772,0.489785713,1.080252069
8,3.087959431,106.9421813,1.410217818,1.792173096,1.225847683,1.599990003,2.656653335,0.954207962,2.451371696,1.36534582,1.744260054,0.712681884,3.755690345,60.31329023,2.387486568,1.639355222,2.058799171,1.659980123,2.081891219,1.878317836,1.934148944,2.579577202,3.185438963,2.205048095
9,1.017982858,10.83103917,1.058868531,0.778341392,0.945191953,0.911254329,0.603989484,1.012929369,0.693335757,0.595773036,-0.327361672,-0.454802328,0.480926653,11.99151289,1.353845781,0.282029132,1.051344452,1.292976936,1.137321273,0.95366677,0.735789624,1.217936703,-0.141272733,-0.001103995
10,4.004333844,40.76194837,1.26091749,2.052645381,2.063489023,2.126328502,2.14808132,1.174613051,1.535923937,1.565952927,1.976044204,1.881327999,2.650811574,31.0581932,1.450749871,2.343247927,1.384888917,1.332732498,1.372838177,1.070573404,1.385242516,1.601428686,2.262763635,2.22631618
11,3.663336796,71.40187003,1.415131624,2.383748923,2.342504696,2.340380844,1.743469321,2.371917785,1.739978633,1.583419352,1.669380872,2.071272201,1.737540148,136.5454475,1.242017351,1.041684572,1.734920275,1.291622374,1.462973537,1.181432843,1.070684911,1.388260898,0.99067781,1.624995975
12,2.778826568,57.8428038,1.495503295,1.166997166,1.791273003,1.321493855,1.844979006,2.104961618,1.703325549,0.810551625,1.134800572,1.540446639,2.871200204,12.44126516,1.651862312,1.399484396,1.901872901,2.110411258,1.699606168,2.576364175,2.024630191,1.311486282,0.397059025,1.163358034
