ID,w3-assessemnt-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w3-14,w3-15,w3-16,w3-17,w3-18,w3-19,w3-20,w3-21,w3-22,w3-23,w3-24,w3-25,w3-26,w4-assessemnt-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13,w4-14,w4-15,w4-16,w4-17,w4-18,w4-19,w4-20,w4-21,w4-22,w4-23,w4-24,w4-25,w4-26
1,2.274214866,99.57678992,0.504523119,1.46821667,1.423405357,1.449703625,1.350555278,2.228739287,2.190891264,1.58166854,1.368908202,1.629011622,1.410919388,1.760336464,2.316876605,1.609232421,1.738240972,1.257070619,1.071471446,0.138674515,0.663934281,0.722925336,0.571627156,0.36123916,0.435280851,0.563476339,1.092477731,0.68586799,2.400824202,54.99443217,1.158095316,0.648588518,0.90331172,1.497530829,1.547667069,1.743641726,2.035790042,1.794167985,1.630633966,1.864513062,1.228093613,0.90803342,1.553361531,1.575228468,1.294999787,1.970100464,0.458389587,0.960963004,0.072223486,0.718743721,0.066909107,0.420808058,0.295931521,0.909739501,0.494994661,0.969601182
2,2.388656467,15.65932663,2.249666482,1.661042129,1.509829542,2.117207958,1.859513978,2.026174499,1.838143729,1.495445313,1.935302798,1.745672212,1.999724753,2.383561118,1.367652989,1.089715052,2.367169014,1.269403824,0.368373012,1.196476211,1.553870633,2.318177068,1.471106728,1.33512152,0.360424932,1.081497229,0.701350221,0.821289292,1.521428692,7.542890703,1.453361886,1.431782571,1.539031881,1.811983675,2.061197602,1.667398909,1.718816053,1.432094026,1.413813081,1.694905146,1.162405797,1.395804159,1.541935806,1.405571175,1.54341805,1.645568322,0.482147146,1.574332441,1.143394962,1.389552236,1.108919657,1.119251072,0.661439973,1.079046544,0.971345524,0.759224161
3,2.127071086,69.20158679,1.119704856,1.998216137,1.429740568,1.267496445,1.471617493,1.937250607,1.569955204,2.708443733,1.578891199,2.012306145,1.932950657,1.344499187,2.98890693,1.084856051,1.905238817,1.659209036,1.609900476,1.501287687,0.876558749,1.433982081,1.426930151,0.623914975,1.055762718,0.935795851,0.723877472,0.792030631,3.328802911,21.50061017,2.165505678,2.414344204,1.90154705,1.632265889,2.527203672,2.322425051,2.23864423,2.235399103,1.719176784,3.082719101,1.920567414,2.693028655,2.037320495,2.634267105,1.995945978,2.773735287,0.762034024,2.481458831,0.442988943,1.370870829,1.231987261,0.918879453,0.778008437,1.124553442,1.504250108,0.527572287
4,1.134065596,64.83246304,0.443962542,0.584322732,0.93499314,0.449205534,0.309990819,2.053990294,2.338848999,2.425199484,1.949876695,1.482293286,1.355282235,1.407792663,2.346600102,1.16361851,0.240823973,0.644050874,0.370785119,0.430975674,-0.305897153,0.179055224,-0.741619545,-0.307980996,-0.012049326,-0.654280866,0.102232525,0.077727922,2.63433735,-27.60490255,0.849596585,1.984788817,1.46717242,2.166058069,1.906114268,1.814353103,1.751781979,1.462486763,0.583900632,1.662408367,1.323024833,1.957777119,0.42417593,0.739561784,1.747188121,1.181369838,0.907168603,1.565593996,1.202810945,0.752381373,1.109128352,0.986243661,0.5798368,0.909280768,1.622105032,1.664083698
5,1.560617637,-0.189597409,1.524007122,1.399430726,0.589219693,0.762406698,1.565151959,1.886720665,1.755757481,1.681597326,2.073297952,2.023448996,1.379935903,1.76429748,1.887847006,2.207605152,1.047405325,1.284566414,0.055411408,1.053077803,0.896561674,1.627641364,2.060325001,0.627292741,1.520801438,1.335257954,0.030822309,-0.410107961,3.259188836,80.46554129,2.14780901,2.18607378,1.977572501,1.953977574,1.918164893,1.70451745,1.748188167,1.967441747,1.987803982,1.676027601,2.258657255,2.229158528,2.142141467,1.704180878,1.83912933,1.840236663,1.591848555,1.118196823,2.323028065,2.131448238,2.424428047,1.554789422,1.903736689,2.27707981,0.666116004,2.120719958
6,2.960577236,-12.90050565,1.02670462,1.212147756,0.959331322,2.231641009,1.670749674,2.034630766,2.230671037,2.108062394,1.59896682,1.426063559,0.507845506,0.868232883,1.912916855,1.391760527,1.352136309,1.70813033,-0.1944406,0.611574141,0.968555323,1.979097254,1.100955752,1.447195832,0.977136577,0.674298937,0.766811508,1.031854032,2.908883068,23.54610685,1.215850666,1.037766312,1.955926037,1.35907545,1.700579639,1.858827573,1.755122926,2.244093624,1.988460846,1.990990359,1.848174782,1.273067187,1.821345414,1.944955784,1.653173467,1.79485967,0.152319889,1.948093415,1.122393563,1.878719448,0.846713813,1.662397956,1.698029987,1.072348127,1.161648863,0.906177838
7,2.472526874,60.00045084,1.699046519,1.817502969,1.628519807,1.749256509,1.79949112,2.314399809,2.225545067,2.038635162,1.367067948,1.408802785,1.551381925,2.197843557,1.543826832,1.079113045,1.880749913,1.144722523,1.627711466,1.668471551,1.849560079,2.083617746,3.016422444,1.132820568,1.177716654,0.491335473,1.065696487,1.138775694,2.291100948,71.25618509,1.755306035,1.897151372,1.403956991,1.352876088,1.736430403,1.843513968,1.82309622,1.781078467,1.349700756,1.322370132,1.587290136,1.635993431,1.450602872,1.576250864,0.781537215,0.841658903,0.473894386,0.719834915,0.830959262,1.480368602,0.604434606,0.087081058,1.114487062,1.706594887,0.617158704,0.350669908
8,2.878654053,72.97476142,1.411628134,1.478255606,1.07163724,1.472569121,1.756309171,2.61283849,2.298899079,2.074206051,2.276193972,2.725962133,2.213636571,2.636640244,2.473277269,2.547615035,2.496611779,2.875195003,0.685978357,2.010865658,0.568090194,2.492382902,1.244691111,1.404591822,2.049672503,1.789168341,1.108292172,2.240689231,2.970315456,87.72955591,1.888676268,1.646673454,1.909426188,2.183520155,2.22203987,2.740932018,2.33525297,2.272995266,1.971432433,2.130888323,2.993880147,2.742600625,2.387132216,2.748205208,2.467733988,2.219859724,1.439872113,2.469506706,1.395518968,2.177843665,1.503727824,1.266989883,1.307795506,1.731586278,1.205410115,1.732042006
9,4.066955155,56.2437171,1.536082738,1.745211527,2.625345653,2.145197977,2.160410051,1.989222925,1.551438563,2.002932226,1.555841195,1.933509017,1.893991722,2.145090216,1.017573551,1.604490479,1.927963065,1.888451907,2.007123826,2.349236293,1.566694221,1.888595995,1.881345,2.01895812,2.464766744,2.508370264,2.606348618,2.940482334,3.951105776,38.42956911,1.341320792,0.540707238,2.023909068,2.177847667,2.45384446,2.089416426,1.776666013,1.878041908,1.633319828,1.745469101,1.584821456,1.847642132,1.532070409,1.745129752,2.598535843,1.8431162,1.822757074,2.257991051,1.582766934,2.274844027,1.933812572,2.341046959,1.543250913,1.479940322,1.914952619,2.118034077
10,2.799882027,45.94828352,1.881656932,2.777515135,1.895681811,1.547857417,2.199717134,2.14917542,2.453124161,2.224338112,1.450470402,2.489895894,2.903291585,2.195791143,2.18049183,1.505286352,2.274687606,2.256442997,2.968278593,1.668075007,2.393726769,2.121793947,2.434367197,1.457199585,1.072168328,0.419595339,1.575053982,2.016850258,2.230384337,27.22964483,1.214314106,1.594799088,0.858523651,1.973486036,1.602318593,1.401669416,1.52076633,1.214677957,1.9180827,1.372999053,1.673370955,1.414081052,1.249547071,1.467727442,1.341354566,1.076097829,0.564110295,1.619726843,1.799450409,0.674647933,0.551167465,0.773403713,0.398184328,0.016896954,0.696239118,0.634800069
11,3.296902936,69.08702011,1.605364154,0.872623708,1.242071423,1.332574583,1.492552857,2.08188554,1.78089035,2.220399485,2.275610369,1.763499851,1.180887217,1.667791257,2.331063541,1.8611415,1.706107747,1.291978381,2.206069447,1.521370439,1.770120087,1.847288653,1.606565523,1.776492218,1.15413924,1.219810352,2.06624782,2.126203882,2.591409233,59.1363115,0.551577675,1.325928073,0.76663189,1.637561981,1.565879506,2.145132448,2.335953837,1.489515607,1.287800377,1.402208491,1.316741024,1.511275334,1.016176473,1.2917166,1.004125701,1.514980462,1.331824095,0.963408025,0.964921725,1.087070514,0.887399963,0.633278378,0.921030584,1.403124566,0.540266215,0.995709634
