ID,w3-assessemnt-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w3-14,w3-15,w3-16,w3-17,w3-18,w4-assessemnt-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13,w4-14,w4-15,w4-16,w4-17,w4-18
1,2.771963858,43.72700512,2.123062018,2.212369767,1.443456676,1.596580229,1.542410066,2.198316563,1.656916829,2.140971212,1.834560747,1.525138468,1.610872116,1.871626087,2.240559548,2.183117637,1.882604075,2.991416103,1.98634259,1.363303469,3.188895297,8.204225828,1.298988806,1.966816495,1.679978635,1.573624525,1.035095738,1.371753602,1.446702609,1.084161743,1.904165551,1.44494231,1.510620776,1.826924448,1.73109155,1.145863525,1.636010953,1.698285825,1.669090666,1.685353
2,2.595197043,121.5990667,0.908985204,0.698688307,1.046648781,0.752929937,0.632857511,0.559145863,-0.124215913,0.990241653,0.261495185,-0.735661838,0.544153796,0.697837819,0.490718575,0.233353573,1.459227626,0.839310578,0.47940761,0.500884094,2.773398026,160.5161728,1.209354336,1.275977691,1.354171665,1.842856915,1.716453298,0.514830583,0.923115537,1.878229627,0.754315577,1.309118729,0.784642298,0.813080616,1.313701838,0.83257398,1.45846265,1.710954508,1.440307769,1.193434714
3,2.367199165,-3.240726062,0.884825244,0.913392792,-0.40626484,0.547950383,-0.158436714,-0.022086672,0.835022237,0.504013913,-0.137786274,1.021784445,1.696243072,1.048900591,0.051414892,1.530735078,1.171146423,0.866739679,0.744116273,-0.074725646,1.937804101,-22.75779865,1.228625783,0.725412256,1.645913349,1.121635349,0.742283511,0.752154242,0.407189444,0.983453758,1.046428133,1.150806573,1.239191308,1.547860125,0.218033618,0.652913446,1.123358387,0.928739851,1.624806037,0.89116539
4,1.107586393,135.1241409,1.062911139,1.29171855,0.007564233,1.384272239,0.139275396,1.555439994,0.460771411,0.85137074,0.715914274,1.099603924,0.896667286,0.589828097,1.305923401,1.409481831,1.451256187,0.136388335,0.500478217,0.918865648,1.077576353,41.35549333,1.233001678,0.869752407,1.021389141,1.803849999,1.149969778,1.615415956,1.663451623,1.697348856,1.723819366,0.883535959,1.185694072,1.395898238,1.750455606,0.675819787,1.158775004,1.392187526,1.0838842,0.700989459
5,2.212397865,58.40285941,1.324223655,1.260933836,1.720062342,0.935421028,0.898626235,1.464549366,1.17064868,1.13916951,1.31398861,0.855426545,2.240531824,1.771422796,1.830483681,1.102402822,1.219697011,2.127611727,2.584635638,1.683715566,2.493338428,45.4128675,1.394935196,1.514877056,2.436276829,1.671019074,1.340268779,2.09443312,2.192935205,1.227946362,2.077222633,1.3006642,0.514990044,0.857100371,1.455576834,1.799620388,1.333943635,1.266805001,2.351630323,0.80587389
6,4.1067609,113.0402011,1.334903151,1.561863043,1.785852342,1.51129735,1.766916107,1.489420415,1.356429326,1.869810541,1.536627412,1.72158564,1.366678873,0.823112316,2.207819238,3.288246948,2.137990087,1.487402981,2.142357102,1.477423109,3.174358676,55.08505425,2.334006968,1.27674179,0.874142813,1.149575419,1.591512517,0.658252096,1.230056268,1.81060049,0.825737744,1.937725953,1.352780067,1.39462972,1.849704703,1.0211413,1.465162852,1.42600045,1.130555115,1.543438753
7,2.224693264,76.62585455,2.045527612,1.543300107,0.994584906,2.423514857,1.557674902,1.181524103,1.065209356,2.753177162,1.113027547,1.459251584,1.804825465,2.213206395,2.221290331,1.855662399,2.714326934,0.770693377,1.031069796,1.845133067,3.398069287,51.11141832,1.888661894,2.417193942,2.236562925,1.958932478,1.855936635,1.985261029,1.928605019,1.992740685,2.336418325,1.79809469,2.815974319,2.849619506,2.361186228,1.172272164,2.838449387,2.375781501,1.298420865,2.109777743
8,2.864675989,58.3445921,1.972203941,1.590496474,2.066102803,0.799190582,0.680507992,1.54979112,1.042098992,1.200372433,0.611069395,1.409901455,1.260696483,1.573737731,2.270643098,1.879451921,2.145491328,1.411613935,1.795380821,1.715614307,2.462455768,16.35428747,1.283981756,1.471647897,1.107270867,0.83565469,1.217449082,1.388986157,1.689010865,1.786312249,1.624120204,0.730446162,1.455084871,1.665716721,1.63529558,0.942865655,1.344304316,1.07068615,1.119142188,1.367791209
9,4.053869449,85.59292568,2.147688958,1.810481888,1.95658137,1.165099728,2.511983591,2.337108285,1.807726612,2.024213386,2.323925061,1.45986419,2.098967807,1.99225808,1.199231056,2.020385156,1.526134522,1.768559033,1.699987921,1.797785846,3.234301453,151.3790894,2.496433225,1.58928059,1.383546312,1.216294946,1.140531142,1.783521503,1.152705776,1.584808623,1.445549733,0.837298001,1.767497509,1.921725043,1.044038587,2.176699372,1.780477485,1.603313142,0.083281398,1.515334816
10,3.948595422,88.40606643,2.209393045,2.181157636,1.694985916,2.343564211,2.099136487,1.437695583,1.249590818,1.842598794,1.743366313,1.393416302,1.519596347,1.297824535,1.253870009,1.501708027,1.305372248,1.519198981,0.996556389,0.565422187,4.44191326,2.559808634,1.646931866,2.726387717,2.59168669,2.472139417,2.257012535,2.235262939,2.185096155,2.416158317,2.508871275,2.394012589,2.705988949,2.560403755,2.772148105,2.431067653,2.158405205,2.45185548,1.132712469,2.237442885
11,1.474784687,50.81945289,0.872997533,1.056803633,0.494179657,0.515435436,1.174753488,0.302367798,0.396123087,1.360253843,0.93420679,0.523759286,1.154879882,1.062577978,1.413570018,0.488475678,1.738785856,1.052788242,0.106095159,-0.035997734,2.202950516,85.67271449,1.3171224,0.936396945,1.657230404,1.333898109,0.998944354,0.795583059,0.771446946,2.125540082,0.938210377,0.955735174,1.584837032,1.436321955,1.875845925,0.268409329,1.260258821,0.644922745,0.572894517,0.753108094
